ministry,website,division,name,designation,room,phones,email,source_url
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri Manik Chandra Pandit,Economic Advisor,LNB 9th Floor,,adviser.moc@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shir Birendra Kumar Thakur,Director Tech.,4609-ZONE-6,,dirtech.moc@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shri Marapally Venkateshwarlu,Director (T/NA),4602-ZONE-6,,marapally.venkat@gov.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shri Deepak Goel,Director (CPIAM),4510-ZONE-5,,deepakgoel.ies@gov.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shri Darshan Kumar Solanki,Director(SDC/JT/LA&IR),4508-ZONE-5,,dk.solanki@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Smt. Meena Kumari Sharma,Director (Vigilance),4507-ZONE-5,,meena.sharma@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shri Arun Kumar,Director (Parl./Coord./Legel),4604-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shri Prashant Panwar,DS(CPD/CA/IT/Media),4512-ZONE-5,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shri Robin Gangte,DS (Admin./Esst./R&I),6304-ZONE-3,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shri Amit Ranjan,DS (IFD/CMPF/Cash),4611-ZONE-6,,amit.ranjan@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shri Satinder Kumar,Joint Director(CSR&W),LNB 5th Floor,,satinder.c@gov.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Mrs. S. Bhuvaneshwari,DS (NA),4603-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Directors/Deputy Secretaries,Shri Sanjay Kumar Gaur,DS(IC/P&S-1/2),4611-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Hitlar Singh,Under Secretary(LA&IR/SDC/JT),LNB 9th Floor,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Alok Verma,Under Secretary (CCT/MPS),4614-ZONE-5,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Shariq Saeed,Under Secretary (Vig/IC),4615-ZONE-5,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Pradeep Raj Nayan,Under Secretary(CA/IT/Media/CPD),6323-ZONE-3,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Vasant Burde,Under secretary (MoS),4209-ZONE-2,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri L.Khamminthang,Under Secretary (P&S-I/P&S-II),4618-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Kunal Prasad,Under Secretary (CSR&W/CMPFO),6323-ZONE-3,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Smt. Seema Grover,Under Secretary(IFD/Cash/Coord.),4618-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Sanjeev Ranjan,Under Secretary(Admin./Estt./Parl./Legal),6420-ZONE-4,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Arvind Kumar,Under Seceatary(NA),4617-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Uttam Pal Negi,Under Secretary (CPIAM),4616-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Vishal,Assistant Director (OL),,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Md Aftab Alam,Deputy Director (CPD),6323-ZONE-3,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Md. Amir Raza,Under Secretary(Welfare/EA),LNB 5th Floor,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Ankit Kumar Jain,Deputy. Director,LNB 5th Floor,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Under Secretaries/Assistant Director,Shri Arjun Lal Bairwa,Assistant Director,LNB 5th Floor,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Section Officers,Shri Aman Balyan,Section Officer (CPD),6323-ZONE-3,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Section Officers,Shri Anurag Verma,Section Officer(P&S-II),4605-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Section Officers,Shri Vineet Kumar,Section Officer(CCT),4605-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Section Officers,Shri Arik Basu Roy Chowdhury,Section Officer(BA/Admin/Estt),6421-ZONE-4,216/246,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Section Officers,Shri Parmod Kumar,Section Officer(IFD),4605-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Section Officers,Shri Shashi Bhushan,Section Officer(Parliament),4511-ZONE-5,,,https://coal.nic.in/about-us/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Rajnath Singh,Raksha Mantri (Defence Minister),,"24014501, 24014502 (Office) 23793881(R), 23014184(R)",rmo@mod.nic.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Shri Amit Kishore, IAS (UP: 2011)",Private Secretary to RM,,"24014501, 24014502 (Office)",rmo@mod.nic.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Krishnendra Pratap Singh,OSD to Raksha Mantri,,"24014501, 24014502 (Office)",NA,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Prabhat Kumar Tripathi,OSD to Raksha Mantri,,"24014501, 24014502 (Office)",NA,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Amarendra Tiwari,Additional Private Secretary to Raksha Mantri,,"24014501, 24014502 (Office)",NA,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Sanjay Seth,Raksha Rajya Mantri (Minister of State for Defence),,24014508(Office) 23310353 (R),mos-defence@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Ujjwal Kumar,PS to Raksha Rajya Mantri,,24014510 (Office),mos-defence@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Jitendra Nath Mahato,Additional PS to Raksha Rajya Mantri,,"24014508, 24014509(Office)",mos-defence@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri K.P. Balyan,APS to Raksha Rajya Mantri,,"24014508, 24014509(Office)",mos-defence@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Kumar Vivekanand,1st PA to Raksha Rajya Mantri,,"24014508, 24014509(Office)",mos-defence@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Shri Rajesh Kumar Singh, IAS (KL: 1989)","Defence Secretary, Secretary DDR&D and Chairman DRDO(additional Charge)",,"24014513, 24014515, 24014516",defsecy@nic.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Amar Singh Chauhan,Sr. PPS to Defence Secretary,,"24014513 , 24014515 24014516",NA,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Prem Singh Raghuvanshi,OSD to Defence Secretary,,"24014513 , 24014515 24014516",NA,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Muthuthevar Kannan,PPS to Defence Secretary,,"24014513 , 24014515 24014516",NA,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Smt. Dipti Mohil Chawla, (IDAS: 1995)",Additional Secretary,,,addlsecy-mod@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Shri Rakesh Mittal, (IDES: 1995)",Additional Secretary,,,addlsecy-r@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Shri A. Anbarasu, IAS (AGMUT:1996)",Additional Secretary & DG (Acquisition),,"24014456, 24014457 (Office of DG Acq)",dgacq-mod@nic.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Shri Manish Tripathi, IDAS (1998)",Additional Secretary,,"24014521, 24014522",addlsecymt-mod@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Shri Rajneesh Kumar Tomar, (IRSME: 1998)",CVO (MES & BRO),,23010161 (Office),cvo-mod@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Shri Satyajit Mohanty, IRS (C & IT : 1999)",Joint Secretary (Armed Forces; Defence Policy & Planning; CISO),,"24014568, 24014569 (Office)",jsaf-mod@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Dr. Shailesh Kumar Chourasia, IAS (MN:2007)",Joint Secretary & AM (Air),,"24014458, 24014459 (Office)",ama@nic.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Shri Amitabh Prasad, (IA&AS) : 2001","Joint Secretary (IC/AP), Ceremonial & CAO",,"24014491,24014492 (Office)",prasada@cag.gov.in ic-mod@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Amit Shivkumar Telang (IFS:2005),Joint Secretary (lnternational Cooperation),,"24014497,24014498 (Office)",jspic@nic.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Shri Dinesh Kumar, IAS (NL 2004)",Joint Secretary & AM (MS),,"24014460,24014461(Office)",jsamms-mod@gov.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Vinod Kumar (IRSME: 1998),Joint Secretary & AM (LS),,"24014462, 24014463 (Office)",amls@nic.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri S.G.P. Verghese,Joint Secretary (Coord/Trg/M&SS),,"24014559, 24014560 (Office)",jscoord-mod@nic.in,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,"Ms. Preeti Meena, IAS (TG: 2010)","Joint Secretary (Land, Works & BR-II)",,"24014523, 24014524 (Office)",--,https://mod.gov.in/dod/en/whos-who
Defence (MoD),https://www.mod.gov.in,,Shri Jitendar Kumar Mehan,Joint Secretary (AF/Org)/MoD Fin,,,dirn2-mod@nic.in,https://mod.gov.in/dod/en/whos-who
