ministry,releases_6y_total,releases_2021,releases_2022,releases_2023,releases_2024,releases_2025,releases_2026,releases_90d,latest_release_date,latest_release_title,matched_org,contact_name,designation,phones,email
Ministry of Culture,1440,180,238,228,225,427,142,26,2026-07-28,“MUSEUM GRANT SCHEME AND PRESERVATION OF CULTURAL HERITAGE”,Ministry of Culture,Shri Gajendra Singh Shekhawat,Minister,"24014301, 24014302",gsingh.shekhawat@gov.in
Ministry of Culture,1440,180,238,228,225,427,142,26,2026-07-28,“MUSEUM GRANT SCHEME AND PRESERVATION OF CULTURAL HERITAGE”,Ministry of Culture,Shri Vivek Aggarwal,Secretary,"24014303, 24014304",secy-culture@nic.in
President's Secretariat,1438,169,235,320,294,281,139,48,2026-07-29,PRESIDENT DROUPADI MURMU LAUNCHES VARIOUS INITIATIVES AT RASHTRAPATI BHAVAN TO MARK THE COMPLETION OF FOUR YEARS OF HER PRESIDENCY,,,,,
Ministry of Social Justice & Empowerment,1386,242,293,290,212,206,143,62,2026-07-29,Government Strengthens Welfare and Social Security Measures for Senior Citizens Under Atal Vayo Abhyudaya Yojana,Ministry of Social Justice and Empowerment,Shri Ramdas Athawale,Minister of State,"011-23381656, 011-23381657",mos3-msje@gov.in
Ministry of Social Justice & Empowerment,1386,242,293,290,212,206,143,62,2026-07-29,Government Strengthens Welfare and Social Security Measures for Senior Citizens Under Atal Vayo Abhyudaya Yojana,Ministry of Social Justice and Empowerment,Shri B. L. Verma,Minister of State,,
Ministry of Social Justice & Empowerment,1386,242,293,290,212,206,143,62,2026-07-29,Government Strengthens Welfare and Social Security Measures for Senior Citizens Under Atal Vayo Abhyudaya Yojana,Ministry of Social Justice and Empowerment,Dr. Virendra Kumar,Minister,"011-23381001, 011-23381390, 011-23012175",min-sje@nic.in
Ministry of Railways,1343,329,244,185,143,226,216,70,2026-07-29,"India's First Direct Commercial Container Freight Train Reaches Nepal, Opening a New Chapter in Cross-border Trade and Connectivity",Ministry of Railways,Shri V. Somanna,Minister of State,,
Ministry of Railways,1343,329,244,185,143,226,216,70,2026-07-29,"India's First Direct Commercial Container Freight Train Reaches Nepal, Opening a New Chapter in Cross-border Trade and Connectivity",Ministry of Railways,Shri Ravneet Singh,Minister of State,,
Ministry of Railways,1343,329,244,185,143,226,216,70,2026-07-29,"India's First Direct Commercial Container Freight Train Reaches Nepal, Opening a New Chapter in Cross-border Trade and Connectivity",Ministry of Railways,Shri Ashwini Vaishnaw,Minister,"23386645, 23017061",officeofmr@gov.in
Ministry of Education,1326,262,304,236,204,196,124,69,2026-07-28,Assessment of Quality of Education Imparted in Schools,Ministry of Education,Shri Jayant Chaudhary,Minister of State,"011-24015042, 011-24015043",mosedu-jc@gov.in
Ministry of Education,1326,262,304,236,204,196,124,69,2026-07-28,Assessment of Quality of Education Imparted in Schools,Ministry of Education,Shri Sukanta Majumdar,Minister of State,"011-24015026, 011-24015028",mosedu-sm@gov.in
Ministry of Education,1326,262,304,236,204,196,124,69,2026-07-28,Assessment of Quality of Education Imparted in Schools,Ministry of Education,Shri Pralhad Joshi,Minister,"011-24015222, 011-24015290",minister.sm@gov.in
Ministry of Youth Affairs and Sports,1315,188,307,193,185,267,175,81,2026-07-29,"MY Bharat Strengthens Volunteer Network with 5,465 Youth Volunteers under National Youth Corps Scheme",Ministry of Youth Affairs and Sports,Smt. Raksha Nikhil Khadse,Minister of State,26111688,mos-yas21@gov.in
Ministry of Youth Affairs and Sports,1315,188,307,193,185,267,175,81,2026-07-29,"MY Bharat Strengthens Volunteer Network with 5,465 Youth Volunteers under National Youth Corps Scheme",Ministry of Youth Affairs and Sports,Dr. Mansukh Mandaviya,Minister,"26116520, 24671185",office-moyas@gov.in
Ministry of Electronics & IT,1307,135,222,261,168,261,260,60,2026-07-28,Digital India BHASHINI Division Conducts Multilingual AI Workshop for Haryana Vidhan Sabha to Advance Language-First Legislative Governance,Ministry of Electronics and Information Technology,Shri Jitin Prasada,Minister of State,"24368757, 24368758",mos-eit@gov.in
Ministry of Electronics & IT,1307,135,222,261,168,261,260,60,2026-07-28,Digital India BHASHINI Division Conducts Multilingual AI Workshop for Haryana Vidhan Sabha to Advance Language-First Legislative Governance,Ministry of Electronics and Information Technology,Shri Ashwini Vaishnaw,Minister,"24369191, 24362626",moeit@gov.in
Ministry of Electronics & IT,1307,135,222,261,168,261,260,60,2026-07-28,Digital India BHASHINI Division Conducts Multilingual AI Workshop for Haryana Vidhan Sabha to Advance Language-First Legislative Governance,Ministry of Electronics and Information Technology,Shri S. Krishnan,Secretary,24364041,secretary@meity.gov.in
Ministry of Road Transport & Highways,1267,205,297,229,219,147,170,74,2026-07-29,NHAI Undertakes DPR Preparation to Decongest Sarai Kale Khan Loop on DND–Sohna National Highway Corridor,Ministry of Road Transport and Highways,Shri Ajay Tamta,Minister of State,23718568,ajay-tamta@gov.in
Ministry of Road Transport & Highways,1267,205,297,229,219,147,170,74,2026-07-29,NHAI Undertakes DPR Preparation to Decongest Sarai Kale Khan Loop on DND–Sohna National Highway Corridor,Ministry of Road Transport and Highways,Shri Harsh Malhotra,Minister of State,23352204,harshdeep.malhotra@gov.in
Ministry of Road Transport & Highways,1267,205,297,229,219,147,170,74,2026-07-29,NHAI Undertakes DPR Preparation to Decongest Sarai Kale Khan Loop on DND–Sohna National Highway Corridor,Ministry of Road Transport and Highways,Shri Nitin Jairam Gadkari,Minister,23719023,nitin.gadkari@nic.in
Ministry of Power,1253,298,216,306,236,114,83,15,2026-07-28,GRID STABILITY AND ENERGY STORAGE,Ministry of Power,Shri Shripad Yesso Naik,Minister of State,"23720450, 23720451",
Ministry of Power,1253,298,216,306,236,114,83,15,2026-07-28,GRID STABILITY AND ENERGY STORAGE,Ministry of Power,Shri Manohar Lal,Minister,"23717474, 23710411",
Ministry of Power,1253,298,216,306,236,114,83,15,2026-07-28,GRID STABILITY AND ENERGY STORAGE,Ministry of Power,Shri Pankaj Agarwal,Secretary,23721487,secy-power@nic.in
"Ministry of Consumer Affairs, Food & Public Distribution",1233,324,261,226,209,147,66,35,2026-07-29,"Government imposes stock holding limits on sugar dealers to prevent hoarding, protect consumer interests, maintain price stability and ensure a transparent and ","Ministry of Consumer Affairs, Food and Public Distribution",Shri B. L. Verma,Minister of State,"23380630, 23380631",
"Ministry of Consumer Affairs, Food & Public Distribution",1233,324,261,226,209,147,66,35,2026-07-29,"Government imposes stock holding limits on sugar dealers to prevent hoarding, protect consumer interests, maintain price stability and ensure a transparent and ","Ministry of Consumer Affairs, Food and Public Distribution",Smt. Nimuben Jayantibhai Bambhaniya,Minister of State,,
"Ministry of Consumer Affairs, Food & Public Distribution",1233,324,261,226,209,147,66,35,2026-07-29,"Government imposes stock holding limits on sugar dealers to prevent hoarding, protect consumer interests, maintain price stability and ensure a transparent and ","Ministry of Consumer Affairs, Food and Public Distribution",Shri Pralhad Joshi,Minister,"23070637, 23070642",
Ministry of Women and Child Development,1219,265,276,219,119,193,147,40,2026-07-25,"Under Mission Saksham Anganwadi and Poshan 2.0, a package of six services are provided to eligible beneficiaries through Anganwadi Centres across the country",Ministry of Women and Child Development,Smt. Savitri Thakur,Minister of State,"23382361, 23382363",mos-wcd@gov.in
Ministry of Women and Child Development,1219,265,276,219,119,193,147,40,2026-07-25,"Under Mission Saksham Anganwadi and Poshan 2.0, a package of six services are provided to eligible beneficiaries through Anganwadi Centres across the country",Ministry of Women and Child Development,Smt. Annpurna Devi,Minister,"23071331, 23071332",min-wcd@gov.in
Ministry of Women and Child Development,1219,265,276,219,119,193,147,40,2026-07-25,"Under Mission Saksham Anganwadi and Poshan 2.0, a package of six services are provided to eligible beneficiaries through Anganwadi Centres across the country",Ministry of Women and Child Development,Shri Anil Malik,Secretary,"23383586, 23386731",secy.wcd@gov.in
"Ministry of Fisheries, Animal Husbandry & Dairying",1214,147,161,236,220,287,163,50,2026-07-29,"Government Strengthens Dairy Infrastructure, Livestock Development and Milk Supply Across India","Ministry of Fisheries, Animal Husbandry and Dairying",Prof. S. P. Singh Baghel,Minister of State,"23782143, 23782548",mos-fahd@dahd.nic.in
"Ministry of Fisheries, Animal Husbandry & Dairying",1214,147,161,236,220,287,163,50,2026-07-29,"Government Strengthens Dairy Infrastructure, Livestock Development and Milk Supply Across India","Ministry of Fisheries, Animal Husbandry and Dairying",Shri Rajiv Ranjan Singh alias Lalan Singh,Minister,"23380780, 23380781",rrsingh@sansad.nic.in
Ministry of Coal,1124,126,217,243,268,206,64,34,2026-07-28,Promotion of coal gasification and clean coal technologies,Ministry of Coal,Shri Satish Chandra Dubey,Minister of State,"20903147, 20903148",
Ministry of Coal,1124,126,217,243,268,206,64,34,2026-07-28,Promotion of coal gasification and clean coal technologies,Ministry of Coal,Shri G. Kishan Reddy,Minister,"26773670, 26773672",
Ministry of Coal,1124,126,217,243,268,206,64,34,2026-07-28,Promotion of coal gasification and clean coal technologies,Ministry of Coal,Shri Vikram Dev Dutt,Secretary,"20903121, 20903131",secy.moc@nic.in
Ministry of Labour & Employment,1122,178,191,225,225,228,75,37,2026-07-28,EXPANSION OF HEALTHCARE FACILITIES BY ESIC,Ministry of Labour and Employment,Sushri Shobha Karandlaje,Minister of State,011-23720013,
Ministry of Labour & Employment,1122,178,191,225,225,228,75,37,2026-07-28,EXPANSION OF HEALTHCARE FACILITIES BY ESIC,Ministry of Labour and Employment,Dr. Mansukh Mandaviya,Minister,"011-23717515, 011-23710240",minoffice-mole@nic.in
Ministry of Labour & Employment,1122,178,191,225,225,228,75,37,2026-07-28,EXPANSION OF HEALTHCARE FACILITIES BY ESIC,Ministry of Labour and Employment,Ms. Vandana Gurnani,Secretary,011-23710265,secy-labour@nic.in
"Ministry of Ports, Shipping and Waterways",1115,159,165,185,231,251,124,45,2026-07-29,Sarbananda Sonowal Reviews Safety Preparedness for Indian Seafarers Amid Evolving Geopolitical Situation,"Ministry of Ports, Shipping and Waterways",Shri Shantanu Thakur,Minister of State,"23710189, 23710356",officeofmos-psw@gov.in
"Ministry of Ports, Shipping and Waterways",1115,159,165,185,231,251,124,45,2026-07-29,Sarbananda Sonowal Reviews Safety Preparedness for Indian Seafarers Amid Evolving Geopolitical Situation,"Ministry of Ports, Shipping and Waterways",Shri Sarbananda Sonowal,Minister,"23717422, 23717423",minister-shipping@gov.in
"Ministry of Ports, Shipping and Waterways",1115,159,165,185,231,251,124,45,2026-07-29,Sarbananda Sonowal Reviews Safety Preparedness for Indian Seafarers Amid Evolving Geopolitical Situation,"Ministry of Ports, Shipping and Waterways",Shri Vijay Kumar,Secretary,"23714938, 23716656",secyship@nic.in
AYUSH,1002,189,132,113,136,287,145,61,2026-07-28,National Institute of Sowa-Rigpa and MDNIY Launch Yoga Wellness Instructor Certificate Course in Leh,Ministry of AYUSH,Shri Jadhav Prataprao Ganpatrao,Minister of State (Independent Charge),"24651955, 24651935",minister-ayush@nic.in
AYUSH,1002,189,132,113,136,287,145,61,2026-07-28,National Institute of Sowa-Rigpa and MDNIY Launch Yoga Wellness Instructor Certificate Course in Leh,Ministry of AYUSH,Shri Rajesh Kotecha,Secretary,24651950,secy-ayush@nic.in
PIB Backgrounder,895,255,178,0,0,201,261,99,2026-07-29,India Leads the Wilderness in Tiger Conservation,,,,,
Ministry of Law and Justice,891,98,156,178,161,188,110,28,2026-07-22,"Department of Legal Affairs, Ministry of Law and Justice hosts 8th Meeting of BRICS Heads of Prosecution Services",Ministry of Law and Justice,Shri Arjun Ram Meghwal,Minister of State (Independent Charge),011-23386974,mljoffice@gov.in
Ministry of Tribal Affairs,846,183,81,94,64,258,166,23,2026-07-23,IMPLEMENTATION OF AI-ENABLED ACADEMIC SUPPORT IN EMRSs,Ministry of Tribal Affairs,Shri Durgadas Uikey,Minister of State,"24013784, 24013785",mos-tribalaffairs@gov.in
Ministry of Tribal Affairs,846,183,81,94,64,258,166,23,2026-07-23,IMPLEMENTATION OF AI-ENABLED ACADEMIC SUPPORT IN EMRSs,Ministry of Tribal Affairs,Shri Jual Oram,Minister,"24013782, 24013783",jual.oram@gov.in
Ministry of Tribal Affairs,846,183,81,94,64,258,166,23,2026-07-23,IMPLEMENTATION OF AI-ENABLED ACADEMIC SUPPORT IN EMRSs,Ministry of Tribal Affairs,Ms. Ranjana Chopra,Secretary,"24013700, 24013701",secy-tribal@nic.in
Ministry of Housing & Urban Affairs,822,139,171,201,134,105,72,36,2026-07-28,STREET VENDORS UNDER PM SVANIDHI,Ministry of Housing and Urban Affairs,Shri Tokhan Sahu,Minister of State,"011-23783006, 011-23783007",sahu.tokhan@gov.in
Ministry of Housing & Urban Affairs,822,139,171,201,134,105,72,36,2026-07-28,STREET VENDORS UNDER PM SVANIDHI,Ministry of Housing and Urban Affairs,Shri Manohar Lal,Minister,"011-23783001, 011-23783002",minister-mohua@nic.in
Ministry of Housing & Urban Affairs,822,139,171,201,134,105,72,36,2026-07-28,STREET VENDORS UNDER PM SVANIDHI,Ministry of Housing and Urban Affairs,Shri Katikithala Srinivas,Secretary,"011-23783010, 011-23783011",secyurban@nic.in
Ministry of Rural Development,819,91,126,135,120,204,143,81,2026-07-29,STATUS OF NATIONAL FAMILY BENEFIT SCHEME,Ministry of Rural Development,Dr. Chandra Sekhar Pemmasani,Minister of State,"23372414, 23372565",mosc-office@gov.in
Ministry of Rural Development,819,91,126,135,120,204,143,81,2026-07-29,STATUS OF NATIONAL FAMILY BENEFIT SCHEME,Ministry of Rural Development,Shri Kamlesh Paswan,Minister of State,"24105585, 23388859",mosoffice-rd@gov.in
Ministry of Rural Development,819,91,126,135,120,204,143,81,2026-07-29,STATUS OF NATIONAL FAMILY BENEFIT SCHEME,Ministry of Rural Development,Shri Shivraj Singh Chouhan,Minister,"23782327, 23782373",minister.rd@gov.in
Ministry of Textiles,818,142,130,89,84,239,134,44,2026-07-29,SPECIALISED COURSE ON TECHNICAL TEXTILES,Ministry of Textiles,Shri Pabitra Margherita,Minister of State,011-20903779,mos-textiles@gov.in
Ministry of Textiles,818,142,130,89,84,239,134,44,2026-07-29,SPECIALISED COURSE ON TECHNICAL TEXTILES,Ministry of Textiles,Shri Giriraj Singh,Minister,"20903582, 26113121",minister.textiles@gov.in
Ministry of Textiles,818,142,130,89,84,239,134,44,2026-07-29,SPECIALISED COURSE ON TECHNICAL TEXTILES,Ministry of Textiles,Ms. Neelam Shami Rao,Secretary,23061769,secy-textiles@nic.in
Ministry of Steel,804,141,183,131,139,148,62,20,2026-07-25,"SAIL declares financial results for Q1 FY27, posts strong profit",Ministry of Steel,Shri Bhupathi Raju Srinivasa Varma,Minister of State,"23063810, 24102703",mos-steel@gov.in
Ministry of Steel,804,141,183,131,139,148,62,20,2026-07-25,"SAIL declares financial results for Q1 FY27, posts strong profit",Ministry of Steel,Shri H. D. Kumaraswamy,Minister,26111395,minister.steel@nic.in
Ministry of Steel,804,141,183,131,139,148,62,20,2026-07-25,"SAIL declares financial results for Q1 FY27, posts strong profit",Ministry of Steel,Shri Sandeep Poundrik,Secretary,"23063489, 24673912",secy-steel@nic.in
"Ministry of Micro,Small & Medium Enterprises",793,156,183,160,137,78,79,33,2026-07-29,"The National SC-ST Hub Scheme is helping in reliable supply chains, increased employment generation and participation of SC/ST entrepreneurs in India's industri","Ministry of Micro, Small &amp; Medium Enterprises",Sushri Shobha Karandlaje,Minister of State,011-24011274,mos-msme@gov.in
"Ministry of Micro,Small & Medium Enterprises",793,156,183,160,137,78,79,33,2026-07-29,"The National SC-ST Hub Scheme is helping in reliable supply chains, increased employment generation and participation of SC/ST entrepreneurs in India's industri","Ministry of Micro, Small &amp; Medium Enterprises",Shri Jitan Ram Manjhi,Minister,011-24011271,min-msme@nic.in
"Ministry of Micro,Small & Medium Enterprises",793,156,183,160,137,78,79,33,2026-07-29,"The National SC-ST Hub Scheme is helping in reliable supply chains, increased employment generation and participation of SC/ST entrepreneurs in India's industri","Ministry of Micro, Small &amp; Medium Enterprises",Shri Bharat Harbanslal Khera,Secretary,"011-24011277, 011-24011278",secretary-msme@nic.in
Ministry of Tourism,753,131,90,118,123,182,109,10,2026-07-28,Ministry of Tourism Signs MoU with Air India to Promote India as a Preferred Global Tourism Destination,Ministry of Tourism,Shri Suresh Gopi,Minister of State,"23724161, 23715717",mos-tourism@gov.in
Ministry of Tourism,753,131,90,118,123,182,109,10,2026-07-28,Ministry of Tourism Signs MoU with Air India to Promote India as a Preferred Global Tourism Destination,Ministry of Tourism,Shri Gajendra Singh Shekhawat,Minister,"23718310, 23717969",g.shekhawat@sansad.nic.in
Ministry of Tourism,753,131,90,118,123,182,109,10,2026-07-28,Ministry of Tourism Signs MoU with Air India to Promote India as a Preferred Global Tourism Destination,Ministry of Tourism,Shri Bhuvnesh Kumar,Secretary,"23711792, 23321395",secretary-tourism@gov.in
Ministry of Earth Sciences,745,226,90,64,89,163,113,21,2026-07-28,"Ministry of Earth Sciences Celebrates 20th Foundation Day, Highlighting Two Decades of Scientific Excellence and National Service",Ministry of Earth Sciences,Dr. Jitendra Singh,Minister,"24629788, 24629789",mos-stes@gov.in
Ministry of Earth Sciences,745,226,90,64,89,163,113,21,2026-07-28,"Ministry of Earth Sciences Celebrates 20th Foundation Day, Highlighting Two Decades of Scientific Excellence and National Service",Ministry of Earth Sciences,Ms. N. Kalaiselvi,Secretary,"011-24629771, 011-24629772",secretary@moes.gov.in
Ministry of Petroleum & Natural Gas,713,170,144,116,88,73,122,37,2026-07-10,Ethanol Blended Petrol Programme- Q&A,Ministry of Petroleum and Natural Gas,Shri Suresh Gopi,Minister of State,24011113,
Ministry of Petroleum & Natural Gas,713,170,144,116,88,73,122,37,2026-07-10,Ethanol Blended Petrol Programme- Q&A,Ministry of Petroleum and Natural Gas,Shri Hardeep Singh Puri,Minister,24011101,min.png@nic.in
Ministry of Petroleum & Natural Gas,713,170,144,116,88,73,122,37,2026-07-10,Ethanol Blended Petrol Programme- Q&A,Ministry of Petroleum and Natural Gas,Shri Neeraj Mittal,Secretary,24011201,sec.png@nic.in
Ministry of Skill Development and Entrepreneurship,700,84,115,67,103,154,177,55,2026-07-28,NCVET Convenes Meeting with Skill Universities to Strengthen Vocational Education through Greater Convergence and Collaboration,Ministry of Skill Development and Entrepreneurship,Shri Jayant Chaudhary,Minister of State (Independent Charge),"26773201, 23782339",minister-msde@gov.in
Ministry of Skill Development and Entrepreneurship,700,84,115,67,103,154,177,55,2026-07-28,NCVET Convenes Meeting with Skill Universities to Strengthen Vocational Education through Greater Convergence and Collaboration,Ministry of Skill Development and Entrepreneurship,Ms. Debashree Mukherjee,Secretary,"26773005, 26773332",secy-msde@nic.in
Ministry of New and Renewable Energy,692,77,119,190,134,110,62,18,2026-07-29,PM Surya Ghar: Muft Bijli Yojana Makes Rooftop Solar Accessible for All with Subsidy Support and Low-Interest Financing,Ministry of New and Renewable Energy,Shri Shripad Yesso Naik,Minister of State,,mos-mnre@gov.in
Ministry of New and Renewable Energy,692,77,119,190,134,110,62,18,2026-07-29,PM Surya Ghar: Muft Bijli Yojana Makes Rooftop Solar Accessible for All with Subsidy Support and Low-Interest Financing,Ministry of New and Renewable Energy,Shri Pralhad Joshi,Minister,,minister.mnre@gov.in
