igod_org_id,org_name,branch,state,address,phone,fax,email,website,social
K84zv3QBGZk0jujBKgGW,Ministry of Mines,ug,,"Fourth Floor, GPOA-3, Netaji Nagar, Bhikaji Cama Place, New Delhi-110023",011-26773640,Email: it-mines[at]nic[dot]in Social Media: Website: https://mines.gov.in,it-mines@nic.in,https://mines.gov.in,
K9LWHHUBGGphvn7wG-2q,".IN Registry, National Internet eXchange of India (NIXI)",ug,,"9th Floor, B-Wing, Statesman House, 148, Barakhamba Road, New Delhi-110001 India","011-48202011, 011-48202000",011-48202013,registry@nixi.in,https://www.registry.in,
KM4zv3QBGZk0jujBKgGW,Ministry of Information and Broadcasting,ug,,"Ministry of Information and Broadcasting, Government of India, 3rd Floor, Kartavya Bhawan 2, New Delhi-110 001",011-24015809,Email: rk[dot]jena[at]gov[dot]in Social Media: Website: https://www.mib.gov.in,rk.jena@gov.in,https://www.mib.gov.in,
Kc4zv3QBGZk0jujBKgGW,Ministry of Labour and Employment,ug,,"Ministry of Labour & Employment Govt. of India, Shram Shakti Bhawan Rafi Marg. New Delhi-110001 India",Fax: Email: Social Media: Website: https://labour.gov.in,Email: Social Media: Website: https://labour.gov.in,Social Media: Website: https://labour.gov.in,https://labour.gov.in,
Ks4zv3QBGZk0jujBKgGW,Ministry of Law and Justice,ug,,"Ministry of Law and Justice, 4th Floor, Kartavya Bhawan - 2, New Delhi - 110001",011-24016097,Email: wim-dla[at]gov[dot]in Social Media: Website: https://lawmin.gov.in,wim-dla@gov.in,https://lawmin.gov.in,
L84zv3QBGZk0jujBKgGW,Ministry of Parliamentary Affairs,ug,,"Ministry of Parliamentary Affairs, 94, Samvidhan Sadan, New Delhi-110001",011-23034899,Email: mukesh[dot]kumar[dot]mopa[at]nic[dot]in Social Media: Website: https://www.mpa.gov.in,mukesh.kumar.mopa@nic.in,https://www.mpa.gov.in,
LKNfInUBxrox_NfiSIBI,Department of Fisheries,ug,,"Department of Fisheries, Ministry of Fisheries,Animal Husbandry and Dairying Krishi Bhawan, New Delhi - 110001",Fax: Email: Social Media: Website: https://dof.gov.in,Email: Social Media: Website: https://dof.gov.in,Social Media: Website: https://dof.gov.in,https://dof.gov.in,
LM4zv3QBGZk0jujBKgGW,Ministry of Minority Affairs,ug,,"Ministry of Minority Affairs 11th Floor, Pandit Deendayal Antyodaya Bhawan, CGO Complex, Lodhi Road, New Delhi-110003",Fax: Email: Social Media: Website: https://minorityaffairs.gov.in,Email: Social Media: Website: https://minorityaffairs.gov.in,Social Media: Website: https://minorityaffairs.gov.in,https://minorityaffairs.gov.in,
Lc4zv3QBGZk0jujBKgGW,Ministry of New and Renewable Energy,ug,,"Atal Akshaya Urja Bhawan, CGO Complex, Lodhi Road, New Delhi – 110003, India",Fax: Email: Social Media: Website: https://mnre.gov.in,Email: Social Media: Website: https://mnre.gov.in,Social Media: Website: https://mnre.gov.in,https://mnre.gov.in,
Ls4zv3QBGZk0jujBKgGW,Ministry of Panchayati Raj,ug,,"11th Floor, Jeevan Prakash Building, 25 K.G.Marg, New Delhi-110001",Fax: Email: nic-mopr[at]nic[dot]in Social Media: Website: https://panchayat.gov.in,Email: nic-mopr[at]nic[dot]in Social Media: Website: https://panchayat.gov.in,nic-mopr@nic.in,https://panchayat.gov.in,
M84zv3QBGZk0jujBKgGW,Ministry of Railways,ug,,"256-A, Raisina Road, Rajpath Area, Central Secretariat, New Delhi, 110001",Fax: Email: Social Media: Website: https://indianrailways.gov.in,Email: Social Media: Website: https://indianrailways.gov.in,Social Media: Website: https://indianrailways.gov.in,https://indianrailways.gov.in,
MM4zv3QBGZk0jujBKgGW,"Ministry of Personnel, Public Grievances and Pensions",ug,,"Department of Personnel & Training Ministry of Personnel, P G and Pensions Government of India Kartavya Bhavan-3, New Delhi -110001",011-23093668,Email: Social Media: Website: https://persmin.gov.in,Social Media: Website: https://persmin.gov.in,https://persmin.gov.in,
Mc4zv3QBGZk0jujBKgGW,Ministry of Petroleum and Natural Gas,ug,,"Ministry of Petroleum & Natural Gas, Kartavya Bhawan - 03, Janpath Road, New Delhi - 110001","011-24011101, 011-24011102",Email: Social Media: Website: https://mopng.gov.in,Social Media: Website: https://mopng.gov.in,https://mopng.gov.in,
Ms4zv3QBGZk0jujBKgGW,Ministry of Power,ug,,"Ministry of Power Govt. of India, Shram Shakti Bhawan, Rafi Marg, New Delhi-1",Fax: Email: Social Media: Website: https://powermin.gov.in,Email: Social Media: Website: https://powermin.gov.in,Social Media: Website: https://powermin.gov.in,https://powermin.gov.in,
NM4zv3QBGZk0jujBKgGW,Ministry of Rural Development,ug,,"Ministry of Rural Development Government of India, Kartavya Bhavan 3, Central Secretariat, New Delhi-110001",011-24011644,Email: jsit-mord[at]nic[dot]in Social Media: Website: https://www.rural.gov.in,jsit-mord@nic.in,https://www.rural.gov.in,
Nc4zv3QBGZk0jujBKgGW,Ministry of Science and Technology,ug,,"Technology Bhavan, New Mehrauli Road, New Delhi-110016",26590215,Email: ws-dst[at]gov[dot]in Social Media: Website: https://most.gov.in,ws-dst@gov.in,https://most.gov.in,
Ns4zv3QBGZk0jujBKgGW,Ministry of Road Transport and Highways,ug,,"Ministry of Road Transport & Highways, Transport Bhawan, 1, Parliament Street, New Delhi-110001",Fax: Email: js[dot]morth[at]gov[dot]in Social Media: Website: https://morth.gov.in,Email: js[dot]morth[at]gov[dot]in Social Media: Website: https://morth.gov.in,js.morth@gov.in,https://morth.gov.in,
O84zv3QBGZk0jujBKgGW,Ministry of Textiles,ug,,"Ministry of Textiles, Government of India, GPOA 3,5th Floor, Africa Avenue, Sector 55, Netaji Nagar, New Delhi-110023",011-23061380,Email: cc-textiles[at]gov[dot]in Social Media: Website: https://texmin.gov.in,cc-textiles@gov.in,https://texmin.gov.in,
Oc4zv3QBGZk0jujBKgGW,Ministry of Statistics and Programme Implementation,ug,,"Ministry of Statistics and Programme Implementation Khurshid Lal Bhawan, Janpath, New Delhi,110001",011-26194203,Email: webunit[dot]diid[at]mospi[dot]gov[dot]in Social Media: Website: https://www.mospi.gov.in,webunit.diid@mospi.gov.in,https://www.mospi.gov.in,
Os4zv3QBGZk0jujBKgGW,Ministry of Steel,ug,,"Ministry of Steel, 3rd Floor, GPOA - 3, Netaji Nagar, New Delhi - 110023",011-24155761,Email: itgs-steel[at]gov[dot]in Social Media: Website: https://steel.gov.in,itgs-steel@gov.in,https://steel.gov.in,
P84zv3QBGZk0jujBKgGW,Ministry of Women and Child Development,ug,,"Ministry of Women and Child Development, Government of India, GPOA 3 Netaji Nagar, Bhikaji Cama Place, New Delhi - 110023",011-26773507,Email: mwcd-itdivision[at]gov[dot]in Social Media: Website: https://wcd.gov.in,mwcd-itdivision@gov.in,https://wcd.gov.in,
P9e83XQBYNG-XPnvjOsx,Department of Agricultural Research and Education,ug,,"Krishi Anusandhan Bhawan, New Delhi – 110012",Fax: Email: Social Media: Website: https://dare.gov.in,Email: Social Media: Website: https://dare.gov.in,Social Media: Website: https://dare.gov.in,https://dare.gov.in,
PM4zv3QBGZk0jujBKgGW,Ministry of Tourism,ug,,"Room No.119, Transport Bhawan, 1, Parliament Street, New Delhi - 110 001",011-23321380,Email: js[dot]tourism[at]gov[dot]in Social Media: Website: https://tourism.gov.in,js.tourism@gov.in,https://tourism.gov.in,
Pc4zv3QBGZk0jujBKgGW,Ministry of Tribal Affairs,ug,,"Kartavya Path, Rajpath Area, Central Secretariat, Kartavya Bhawan- 01, New Delhi-110001",011-24013712,Email: Social Media: Website: https://tribal.gov.in,Social Media: Website: https://tribal.gov.in,https://tribal.gov.in,
Q84zv3QBGZk0jujBKgGW,Ministry of Development of North Eastern Region,ug,,"Ministry of Development of North Eastern Region, Jodhpur Officers Hostel, Block-12-A, Room No-14, C-Hexagaon, India Gate Circle, Pandara Park, New Delhi-110003","21510618, 21410932",Email: stats-mdoner[at]gov[dot]in Social Media: Website: https://mdoner.gov.in,stats-mdoner@gov.in,https://mdoner.gov.in,
Q9e83XQBYNG-XPnvjOsx,Department of Pharmaceuticals,ug,,"Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers, Room No. 340B, A-Wing, 3rd Floor, Shastri Bhawan, New Delhi-110001",011-23381927,Email: srea-dop[at]gov[dot]in Social Media: Website: https://pharma-dept.gov.in,srea-dop@gov.in,https://pharma-dept.gov.in,
QAWg4YgBF92NGf8XN8qA,9 Years of Government,ug,,"Office of CEO, MyGov 3rd Floor, Room no-3015 Ministry of Electronics and Information Technology (Government of India) Electronics Niketan, 6, CGO Complex, Lodhi Road, New Delhi - 110003, India","011-24301815, 011-24364706",Email: Social Media: Website: https://static.mygov.in/archive/9years/index.html,Social Media: Website: https://static.mygov.in/archive/9years/index.html,https://static.mygov.in/archive/9years/index.html,
QM4zv3QBGZk0jujBKgGW,Ministry of Youth Affairs and Sports,ug,,"Room No. 7201, 7th Floor, Zone-06, GPOA-3, Netaji Nagar, Africa Avenue, New Delhi - 110023",Fax: Email: cmc-dos[at]gov[dot]in Social Media: Website: https://yas.gov.in,Email: cmc-dos[at]gov[dot]in Social Media: Website: https://yas.gov.in,cmc-dos@gov.in,https://yas.gov.in,
QNe83XQBYNG-XPnvjOsx,Department of Agriculture and Farmers Welfare,ug,,"Department of Agriculture and farmer welfare Ministry of Agriculture and Farmers Welfare Room No 131, Krishi Bhawan",01123385093,Email: Social Media: Website: https://agriwelfare.gov.in,Social Media: Website: https://agriwelfare.gov.in,https://agriwelfare.gov.in,
Qc4zv3QBGZk0jujBKgGW,Department of Atomic Energy,ug,,"102, Anushakti Bhavan, Department of Atomic Energy, CSM Marg, Mumbai-400001",Fax: Email: Social Media: Website: https://dae.gov.in,Email: Social Media: Website: https://dae.gov.in,Social Media: Website: https://dae.gov.in,https://dae.gov.in,
Qde83XQBYNG-XPnvjOsx,Department of Chemicals and Petro-Chemicals,ug,,"Ministry of Chemicals & Fertilizers, Dept. of Chemicals & Petrochemicals, 22019 (KB-II), Kartavya Bhawan, New Delhi-110001",011-24015639,Email: divya[dot]parmar[at]gov[dot]in Social Media: Website: https://chemicals.gov.in,divya.parmar@gov.in,https://chemicals.gov.in,
Qs4zv3QBGZk0jujBKgGW,Department of Space,ug,,"ISRO Headquarters Antariksh Bhavan, New BEL Road Bengaluru-560 094",080-22172119,Email: Social Media: Website: https://www.dos.gov.in,Social Media: Website: https://www.dos.gov.in,https://www.dos.gov.in,
Qte83XQBYNG-XPnvjOsx,Department of Fertilizers,ug,,"Department of Fertilizers, Government of India, Ministry of Chemicals and Fertilizers, Shastri Bhawan, New Delhi - 110001",011-23382552,Email: Social Media: Website: https://fert.gov.in,Social Media: Website: https://fert.gov.in,https://fert.gov.in,
QwWk4YgBF92NGf8XsMoK,MyGov Saathi,ug,,"Office of CEO, MyGov 3rd Floor, Room no-3015 Ministry of Electronics and Information Technology (Government of India) Electronics Niketan, 6, CGO Complex, Lodhi Road, New Delhi - 110003, India","011-24301815, 011-24364706",Email: Social Media: Website: https://saathi.mygov.in,Social Media: Website: https://saathi.mygov.in,https://saathi.mygov.in,
R84zv3QBGZk0jujBKgGW,Ministry of Skill Development and Entrepreneurship,ug,,"Ministry of Skill Development and Entrepreneurship, Government of India, Kaushal Bhawan, New Moti Bagh, New Delhi - 1100231",011-26773219,Email: contactmsde[at]gov[dot]in Social Media: Website: https://www.msde.gov.in,contactmsde@gov.in,https://www.msde.gov.in,
R9e83XQBYNG-XPnvjOsx,Department of Telecommunications,ug,,"Ministry of Communications Department of Telecommunications Sanchar Bhawan, 20 Ashoka Road New Delhi- 110001",011-23372071,Email: Social Media: Website: https://www.dot.gov.in,Social Media: Website: https://www.dot.gov.in,https://www.dot.gov.in,
RM4zv3QBGZk0jujBKgGW,Ministry of Electronics and Information Technology,ug,,"Ministry of Electronics and Information Technology (Government of India) Electronics Niketan, 6, CGO Complex, Lodhi Road, New Delhi - 110003","011-24361756, 011-24364751",Email: webmaster[at]meity[dot]gov[dot]in Social Media: Website: https://meity.gov.in,webmaster@meity.gov.in,https://meity.gov.in,
Rc4zv3QBGZk0jujBKgGW,Ministry of AYUSH,ug,,"Ministry of AYUSH, Ayush Bhawan, B Block, GPO Complex, INA, New Delhi - 110023",011-24651942,Email: support-moayush[at]nic[dot]in Social Media: Website: https://ayush.gov.in,support-moayush@nic.in,https://ayush.gov.in,
Rde83XQBYNG-XPnvjOsx,Department of Commerce,ug,,"Ministry of Commerce and Industry, Vanijya Bhawan, New Delhi 110011",011-23038529,Email: itcell-doc[at]nic[dot]in Social Media: Website: https://commerce.gov.in,itcell-doc@nic.in,https://commerce.gov.in,
Rs4zv3QBGZk0jujBKgGW,"Ministry of Ports, Shipping and Waterways",ug,,"Ministry of Ports, Shipping and Waterways, Transport Bhawan, 1, Parliament Street, New Delhi-110001",011-23350649,Email: dirsm1-psw[at]gov[dot]in Social Media: Website: https://shipmin.gov.in,dirsm1-psw@gov.in,https://shipmin.gov.in,
Rte83XQBYNG-XPnvjOsx,Department of Posts,ug,,Postal Directorate Dak Bhavan New Delhi 110001,Fax: Email: Social Media: Website: https://www.indiapost.gov.in,Email: Social Media: Website: https://www.indiapost.gov.in,Social Media: Website: https://www.indiapost.gov.in,https://www.indiapost.gov.in,
S9e83XQBYNG-XPnvjOsx,Department of Defence Production,ug,,"11-A, South Block, New Delhi-110011",011-23013705,Email: dir-coord[at]ddpmod[dot]gov[dot]in Social Media: Website: https://ddpmod.gov.in,dir-coord@ddpmod.gov.in,https://ddpmod.gov.in,
SI7dxHQBnHZIjqMuV49J,Department of Animal Husbandry and Dairying,ug,,"Department of Animal Husbandry and Dairying, Ministry of Fisheries,Animal Husbandry and Dairying Krishi Bhawan, New Delhi - 110001",011-23389620,Email: gn[dot]singh13[at]nic[dot]in Social Media: Website: https://dahd.gov.in,gn.singh13@nic.in,https://dahd.gov.in,
SM4zv3QBGZk0jujBKgGW,"Ministry of Fisheries, Animal Husbandry and Dairying",ug,,"Department of Animal Husbandry and Dairying, Ministry of Fisheries,Animal Husbandry and Dairying Krishi Bhawan, New Delhi - 110001",011-23389620,Email: gn[dot]singh13[at]nic[dot]in Social Media: Website:,gn.singh13@nic.in,,
SNe83XQBYNG-XPnvjOsx,Department of Consumer Affairs,ug,,"Department of Consumer Affairs Room No. 456 C , Krishi Bhawan New Delhi 110001",011-23386189,Email: Social Media: Website: https://doca.gov.in,Social Media: Website: https://doca.gov.in,https://doca.gov.in,
Sde83XQBYNG-XPnvjOsx,Department of Food and Public Distribution,ug,,"Department of Food and Public Distribution Ministry of Consumer Affairs, Food and Public Distribution Department of Food & PD Krishi Bhawan, New Delhi - 110001.",Fax: Email: Social Media: Website: https://dfpd.gov.in,Email: Social Media: Website: https://dfpd.gov.in,Social Media: Website: https://dfpd.gov.in,https://dfpd.gov.in,
Ste83XQBYNG-XPnvjOsx,Department of Defence,ug,,"Room No. 6-A, South Block, New Delhi - 110011",011-23015444,Email: jse[at]nic[dot]in Social Media: Website: https://www.mod.gov.in/dod,jse@nic.in,https://www.mod.gov.in/dod,
T9e83XQBYNG-XPnvjOsx,Department of Higher Education,ug,,"Department of Higher Education, Kartavya Bhawan 2, Central Secretariat, New Delhi-110001",011-20862081,Email: navanita[dot]gogoi[at]nic[dot]in Social Media: Website: https://www.dohe-education.gov.in,navanita.gogoi@nic.in,https://www.dohe-education.gov.in,
TNe83XQBYNG-XPnvjOsx,Department of Defence Research and Development,ug,,"DRDO Bhawan, Rajaji Marg, New Delhi-110011",Fax: Email: Social Media: Website: https://drdo.gov.in/drdo,Email: Social Media: Website: https://drdo.gov.in/drdo,Social Media: Website: https://drdo.gov.in/drdo,https://drdo.gov.in/drdo,
Tde83XQBYNG-XPnvjOsx,Department of Ex-Servicemen Welfare,ug,,"99-A, South Block New Delhi-110011","011-23011804, 011-23015933",Email: Social Media: Website: https://www.desw.gov.in,Social Media: Website: https://www.desw.gov.in,https://www.desw.gov.in,
U9e83XQBYNG-XPnvjOsx,Department of Financial Services,ug,,"Department of Financial Services Ministry of Finance 3rd Floor, Jeevan Deep Building Sansad Marg New Delhi-110001","011-23742207, 011-23360250",Email: Social Media: Website: https://financialservices.gov.in,Social Media: Website: https://financialservices.gov.in,https://financialservices.gov.in,
UNe83XQBYNG-XPnvjOsx,Department of School Education and Literacy,ug,,"Department of School Education & Literacy, Kartavya Bhawan 2, Central Secretariat, New Delhi-110001",011-24015432,Email: srija[dot]a[at]gov[dot]in Social Media: Website: https://dsel.education.gov.in,srija.a@gov.in,https://dsel.education.gov.in,
Ude83XQBYNG-XPnvjOsx,Department of Economic Affairs,ug,,"Department Of Economic Affairs, Kartavya Bhawan - 1, New Delhi-110001","011-23701037, 011-23701038",Email: Social Media: Website: https://dea.gov.in,Social Media: Website: https://dea.gov.in,https://dea.gov.in,
Ute83XQBYNG-XPnvjOsx,Department of Expenditure,ug,,"Ministry of Finance, Department of Expenditure, Room No. : 16088, Kartavya Bhawan - I, New Delhi",011-24012028,Email: jsecoord-doe[at]gov[dot]in Social Media: Website: https://doe.gov.in,jsecoord-doe@gov.in,https://doe.gov.in,
VNe83XQBYNG-XPnvjOsx,Department of Investment and Public Asset Management,ug,,"Room No 408, 4th Floor Block No. 11 CGO Complex, Lodhi Road New Delhi - 110003",011-24366523,Email: Social Media: Website: https://dipam.gov.in,Social Media: Website: https://dipam.gov.in,https://dipam.gov.in,
Vde83XQBYNG-XPnvjOsx,Department of Revenue,ug,,"Ministry of Finance Department of Revenue Room No.Room No. 14081, Kartavya Bhawan - I, New Delhi","011-24012470, 011-24012471",Email: dirnc-dor[at]nic[dot]in Social Media: Website: https://dor.gov.in,dirnc-dor@nic.in,https://dor.gov.in,
W9e83XQBYNG-XPnvjOsx,Department of Public Enterprises,ug,,"Department Of Public Enterprises Block No. 14, CGO Complex, New Delhi-110003",011-24360672,Email: Social Media: Website: https://dpe.gov.in,Social Media: Website: https://dpe.gov.in,https://dpe.gov.in,
WNe83XQBYNG-XPnvjOsx,Department of Health and Family Welfare,ug,,"Ministry of Health & Family Welfare, Room No. 11068, B-Wing, Kartavya Bhawan -1 New Delhi -110001","011-24013173, 011-24013174",Email: Social Media: Website: https://www.mohfw-dohfw.gov.in,Social Media: Website: https://www.mohfw-dohfw.gov.in,https://www.mohfw-dohfw.gov.in,
WQOeFYUB77KrIrzW29dC,MyGov Karnataka,sg,KA,"Karnataka MyGov Team Chief Secretary Office Room No. 320, 3rd floor, Vidhanasoudha, Bangalore-01",Fax: Email: cs[at]karnataka[dot]gov[dot]in Website: https://karnataka.mygov.in,Email: cs[at]karnataka[dot]gov[dot]in Website: https://karnataka.mygov.in,cs@karnataka.gov.in Website: https://karnataka.mygov.in,https://karnataka.mygov.in,
Wde83XQBYNG-XPnvjOsx,Department of Health Research,ug,,"Department of Health Research 2nd Floor, IRCS Building, 1, Red Cross Road, New Delhi - 110001.",Fax: Email: Social Media: Website: https://dhr.gov.in,Email: Social Media: Website: https://dhr.gov.in,Social Media: Website: https://dhr.gov.in,https://dhr.gov.in,
X9e83XQBYNG-XPnvjOsx,Department of Home,ug,,Phone No: Fax: Email: Social Media: Website:,Fax: Email: Social Media: Website:,Email: Social Media: Website:,Social Media: Website:,,
Xte83XQBYNG-XPnvjOsx,Department of Border Management,ug,,Phone No: Fax: Email: Website:,Fax: Email: Website:,Email: Website:,Website:,,
YQUjYIQBF92NGf8XoaQ6,Department of Military Affairs,ug,,"Kartavya Bhawan-II, New Delhi - 110011",Fax: Email: helpdesk-dma[at]gov[dot]in Social Media: Website: https://dmamod.gov.in,Email: helpdesk-dma[at]gov[dot]in Social Media: Website: https://dmamod.gov.in,helpdesk-dma@gov.in,https://dmamod.gov.in,
Yte83XQBYNG-XPnvjOsx,Department of Official Language,ug,,"NDCC-II Bhawan, 'B' Wing 4th Floor, Jai Singh Road New Delhi - 110001",011-23438130,Email: Social Media: Website: https://rajbhasha.gov.in,Social Media: Website: https://rajbhasha.gov.in,https://rajbhasha.gov.in,
Z9e83XQBYNG-XPnvjOsx,Department of Legal Affairs,ug,,"Ministry of Law and Justice, Department of Legal Affairs, 4th Floor, Kartavya Bhawan - 2, New Delhi - 110 001",011-24016097,Email: wim-dla[at]gov[dot]in Social Media: Website: https://legalaffairs.gov.in,wim-dla@gov.in,https://legalaffairs.gov.in,
