igod_org_id,org_name,branch,state,name,designation,division,phones,office_address,email
Gs4zv3QBGZk0jujBKgGW,"Ministry of Consumer Affairs, Food and Public Distribution",ug,,Shri Pralhad Joshi,Minister,"Ministry of Consumer Affairs, Food and Public Distribution","23070637, 23070642","Room No.: 179, Krishi Bhawan, New Delhi-110001",
Gs4zv3QBGZk0jujBKgGW,"Ministry of Consumer Affairs, Food and Public Distribution",ug,,Shri B. L. Verma,Minister of State,"Ministry of Consumer Affairs, Food and Public Distribution","23380630, 23380631","Room No.: 173, Krishi Bhawan, New Delhi-110001",
Gs4zv3QBGZk0jujBKgGW,"Ministry of Consumer Affairs, Food and Public Distribution",ug,,Smt. Nimuben Jayantibhai Bambhaniya,Minister of State,"Ministry of Consumer Affairs, Food and Public Distribution",,"Room No.: 196, Krishi Bhawan, New Delhi-110001",
H84zv3QBGZk0jujBKgGW,"Ministry of Environment, Forest and Climate Change",ug,,Shri Bhupender Yadav,Minister,"Ministry of Environment, Forest and Climate Change","011-20819190, 011-20819187, 011-23014243",,mefcc@gov.in
H84zv3QBGZk0jujBKgGW,"Ministry of Environment, Forest and Climate Change",ug,,Shri Kirtivardhan Singh,Minister of State,"Ministry of Environment, Forest and Climate Change","011-20819418, 011-20819421, 011-23794971",,
H84zv3QBGZk0jujBKgGW,"Ministry of Environment, Forest and Climate Change",ug,,Shri Tanmay Kumar,Secretary,"Ministry of Environment, Forest and Climate Change","011-20819308, 011-20819408",,secy-moef@nic.in
HM4zv3QBGZk0jujBKgGW,Ministry of Culture,ug,,Shri Gajendra Singh Shekhawat,Minister,Ministry of Culture,"24014301, 24014302","Room No.- 22106, Kartavya Bhawan - 2, New Delhi - 110001",gsingh.shekhawat@gov.in
HM4zv3QBGZk0jujBKgGW,Ministry of Culture,ug,,Rao Inderjit Singh,Minister of State,Ministry of Culture,"21402909, 23096561","Room No. 132, NITI Aayog, New Delhi-110001",mos-culture@gov.in
HM4zv3QBGZk0jujBKgGW,Ministry of Culture,ug,,Shri Vivek Aggarwal,Secretary,Ministry of Culture,"24014303, 24014304","Room No.- 22102, Kartavya Bhawan - 2, New Delhi - 110001",secy-culture@nic.in
Hc4zv3QBGZk0jujBKgGW,Ministry of Defence,ug,,Shri Raj Nath Singh,Minister,Ministry of Defence,"24014501, 24014502, 23793881","25075, 5th Floor, Kartavya Bhavan-2, New Delhi- 110001",rmo@mod.nic.in
Hc4zv3QBGZk0jujBKgGW,Ministry of Defence,ug,,Shri Sanjay Seth,Minister of State,Ministry of Defence,"24014508, 23310353","26107, 6th Floor, Kartavya Bhavan-2, New Delhi- 110001",mos-defence@gov.in
Hs4zv3QBGZk0jujBKgGW,Ministry of Earth Sciences,ug,,Dr. Jitendra Singh,Minister,Minister of State (Independent Charge),"24629788, 24629789","5th Floor, Prithvi Bhavan, Opp. India Habitat Centre, Lodhi Road, New Delhi - 110003",mos-stes@gov.in
Hs4zv3QBGZk0jujBKgGW,Ministry of Earth Sciences,ug,,Ms. N. Kalaiselvi,Secretary,Ministry of Earth Sciences,"011-24629771, 011-24629772","Room No.: 108, Prithvi Bhavan, Opp. India Habitat Centre, Lodhi Road, New Delhi - 110003",secretary@moes.gov.in
I84zv3QBGZk0jujBKgGW,Ministry of Health and Family Welfare,ug,,Shri Jagat Prakash Nadda,Minister,Ministry of Health and Family Welfare,"24013301, 24013302","Room No. 12107 C- Wing, Kartavya Bhawan -1, New Delhi -110001",min-hfm@gov.in
I84zv3QBGZk0jujBKgGW,Ministry of Health and Family Welfare,ug,,Shri Jadhav Prataprao Ganpatrao,Minister of State,Ministry of Health and Family Welfare,24013380,"Room No. 12042 A-Wing, , Kartavya Bhawan -1, New Delhi -110001",mos-health@gov.in
I84zv3QBGZk0jujBKgGW,Ministry of Health and Family Welfare,ug,,Smt. Anupriya Patel,Minister of State,Ministry of Health and Family Welfare,"24013239, 24013240","Room No. 12026 A- Wing, Kartavya Bhawan -1, New Delhi -110001",mosap-mohfw@gov.in
IM4zv3QBGZk0jujBKgGW,Ministry of External Affairs,ug,,Dr. Subrahmanyam Jaishankar,Minister,Ministry of External Affairs,"23011127, 23011165",,eam@mea.gov.in
IM4zv3QBGZk0jujBKgGW,Ministry of External Affairs,ug,,Shri Kirtivardhan Singh,Minister of State,Ministry of External Affairs,"23011141, 23014070",,mosvmo@mea.gov.in
IM4zv3QBGZk0jujBKgGW,Ministry of External Affairs,ug,,Shri Pabitra Margherita,Minister of State,Ministry of External Affairs,"23086789, 23017763",,mos.pm@mea.gov.in
IM4zv3QBGZk0jujBKgGW,Ministry of External Affairs,ug,,Shri Vikram Misri,Foreign Secretary,Ministry of External Affairs,"23012318, 23012196",,psfs@mea.gov.in
Ic4zv3QBGZk0jujBKgGW,Ministry of Finance,ug,,Smt. Nirmala Sitharaman,Minister,Ministry of Finance,"011-24012101, 011-24012102","Room No. 15075, Kartavya Bhawan - I, New Delhi",appointment.fm@gov.in
Ic4zv3QBGZk0jujBKgGW,Ministry of Finance,ug,,Shri Pankaj Chaowdhary,Minister of State,Ministry of Finance,"011-24012401, 011-24012402","Room No. 16042, Kartavya Bhawan - I, New Delhi",mosfinance@nic.in
Ic4zv3QBGZk0jujBKgGW,Ministry of Finance,ug,,Shri V. Vualnam,Finance Secretary,Ministry of Finance,"011-24012000, 011-24012001","Room No. 16102, Kartavya Bhawan - I, New Delhi",secyexp@nic.in
Is4zv3QBGZk0jujBKgGW,Ministry of Food Processing Industries,ug,,Shri Chirag Paswan,Minister,Ministry of Food Processing Industries,"26493889, 26493890","Minister Chamber, Panchsheel Bhawan, August Kranti Marg Khelgaon, New Delhi-110049",minister.fpi@nic.in
Is4zv3QBGZk0jujBKgGW,Ministry of Food Processing Industries,ug,,Shri Ravneet Singh,Minister of State,Ministry of Food Processing Industries,"26491254, 26491256","MOS Chamber, Panchsheel Bhawan, August Kranti Marg Khelgaon, New Delhi-110049",mos-fpi@nic.in
Is4zv3QBGZk0jujBKgGW,Ministry of Food Processing Industries,ug,,Shri A. P. Das Joshi,Secretary,Ministry of Food Processing Industries,"26493225, 26492431","Room No.: 201, Panchsheel Bhawan, August Kranti Marg Khelgaon, New Delhi-110049",secy.mofpi@nic.in
J84zv3QBGZk0jujBKgGW,Ministry of Education,ug,,Shri Pralhad Joshi,Minister,Ministry of Education,"011-24015222, 011-24015290","Room No. 21107, Kartavya Bhawan 2, Central Secretariat, New Delhi-110001",minister.sm@gov.in
J84zv3QBGZk0jujBKgGW,Ministry of Education,ug,,Shri Jayant Chaudhary,Minister of State,Ministry of Education,"011-24015042, 011-24015043","Room No. 21042, Kartavya Bhawan 2, Central Secretariat, New Delhi-110001",mosedu-jc@gov.in
J84zv3QBGZk0jujBKgGW,Ministry of Education,ug,,Shri Sukanta Majumdar,Minister of State,Ministry of Education,"011-24015026, 011-24015028","Room No. 21026, Kartavya Bhawan 2, Central Secretariat, New Delhi-110001",mosedu-sm@gov.in
JM4zv3QBGZk0jujBKgGW,Ministry of Heavy Industries,ug,,Shri H. D. Kumaraswamy,Minister,Ministry of Heavy Industries and Public Enterprises,"23063598, 23061339","Room No. 176, Udyog Bhawan, New Delhi",
JM4zv3QBGZk0jujBKgGW,Ministry of Heavy Industries,ug,,Shri Bhupathi Raju Srinivasa Varma,Minister of State,Ministry of Heavy Industries and Public Enterprises,"23062676, 23062678","Room No. 36, Udyog Bhawan, New Delhi",
JM4zv3QBGZk0jujBKgGW,Ministry of Heavy Industries,ug,,Shri Kamran Rizvi,Secretary,Ministry of Heavy Industries and Public Enterprises,"23063633, 23061854","Room No. 155, Udyog Bhawan, New Delhi",shioff@nic.in
Jc4zv3QBGZk0jujBKgGW,Ministry of Home Affairs,ug,,Shri Amit Shah,Minister,Ministry of Home Affairs,"23092462, 23094686","Room No.: 104, North Block, New Delhi - 110001",
Jc4zv3QBGZk0jujBKgGW,Ministry of Home Affairs,ug,,Shri Nityanand Rai,Minister of State,Ministry of Home Affairs,"23092870, 23092595","Room No.: 101, North Block, New Delhi - 110001",
Jc4zv3QBGZk0jujBKgGW,Ministry of Home Affairs,ug,,Shri Bandi Sanjay Kumar,Minister of State,Ministry of Home Affairs,"23092073, 23094054","Room No.: 127, North Block, New Delhi - 110001",
Js4zv3QBGZk0jujBKgGW,Ministry of Housing and Urban Affairs,ug,,Shri Manohar Lal,Minister,Ministry of Housing and Urban Affairs,"011-23783001, 011-23783002","Room No.: 716, Sankalp Bhawan, GPOA-2, Pt. Ravi Shankar Shukla Lane, New Delhi-110001",minister-mohua@nic.in
Js4zv3QBGZk0jujBKgGW,Ministry of Housing and Urban Affairs,ug,,Shri Tokhan Sahu,Minister of State,Ministry of Housing and Urban Affairs,"011-23783006, 011-23783007","Room No.: 117, Sankalp Bhawan, GPOA-2, Pt. Ravi Shankar Shukla Lane, New Delhi-110001",sahu.tokhan@gov.in
Js4zv3QBGZk0jujBKgGW,Ministry of Housing and Urban Affairs,ug,,Shri Katikithala Srinivas,Secretary,Ministry of Housing and Urban Affairs,"011-23783010, 011-23783011","Room No.: 919, Sankalp Bhawan, GPOA-2, Pt. Ravi Shankar Shukla Lane, New Delhi-110001",secyurban@nic.in
K84zv3QBGZk0jujBKgGW,Ministry of Mines,ug,,Shri G. Kishan Reddy,Minister,Ministry of Mines,"011-26773670, 011-26773671","Room No: 4101, GPOA-3, Netaji Nagar, Bhikaji Cama Place, New Delhi",minister.mines@gov.in
K84zv3QBGZk0jujBKgGW,Ministry of Mines,ug,,Shri Satish Chandra Dubey,Minister of State,Ministry of Mines,"011-26773878, 011-23070522","Room No: 4201, GPOA-3, Netaji Nagar, Bhikaji Cama Place, New Delhi",mos-mines@gov.in
K84zv3QBGZk0jujBKgGW,Ministry of Mines,ug,,Shri Piyush Goyal,Secretary,Ministry of Mines,011-26773601,"Room No: 4501, GPOA-3, Netaji Nagar, Bhikaji Cama Place, New Delhi",secy-mines@nic.in
K9LWHHUBGGphvn7wG-2q,".IN Registry, National Internet eXchange of India (NIXI)",ug,,Shri Anil Kumar Jain,CEO,National Internet Exchange of India (NIXI),011-48202000,,ceo@nixi.in
KM4zv3QBGZk0jujBKgGW,Ministry of Information and Broadcasting,ug,,Shri Ashwini Vaishnaw,Minister,Ministry of Information and Broadcasting,,"Ministry of Information and Broadcasting, Government of India, Room No.: 23072, Kartavya Bhawan 2, New Delhi-110 001",minister.inb@gov.in
KM4zv3QBGZk0jujBKgGW,Ministry of Information and Broadcasting,ug,,Dr. L. Murugan,Minister of State,Ministry of Information and Broadcasting,,"Ministry of Information and Broadcasting, Government of India, Room No.: 23102, Kartavya Bhawan 2, New Delhi-110 001",mos-moib@gov.in
KM4zv3QBGZk0jujBKgGW,Ministry of Information and Broadcasting,ug,,Shri Chanchal Kumar,Secretary,Ministry of Information and Broadcasting,011-24015801,"Ministry of Information and Broadcasting, Government of India, Room No.: 22042, Kartavya Bhawan 2, New Delhi-110 001",secy.inb@nic.in
Kc4zv3QBGZk0jujBKgGW,Ministry of Labour and Employment,ug,,Dr. Mansukh Mandaviya,Minister,Ministry of Labour and Employment,"011-23717515, 011-23710240","Room No.: 120, Shram Shakti Bhawan, Rafi marg New Delhi-110001",minoffice-mole@nic.in
Kc4zv3QBGZk0jujBKgGW,Ministry of Labour and Employment,ug,,Sushri Shobha Karandlaje,Minister of State,Ministry of Labour and Employment,011-23720013,"Room No.: 112, Shram Shakti Bhawan, Rafi marg New Delhi-110001",
Kc4zv3QBGZk0jujBKgGW,Ministry of Labour and Employment,ug,,Ms. Vandana Gurnani,Secretary,Ministry of Labour and Employment,011-23710265,"Room No.: 104, Shram Shakti Bhawan, Rafi marg New Delhi-110001",secy-labour@nic.in
Ks4zv3QBGZk0jujBKgGW,Ministry of Law and Justice,ug,,Shri Arjun Ram Meghwal,Minister of State (Independent Charge),Ministry of Law and Justice,011-23386974,"Room No. 24107, 4th Floor, Kartavya Bhawan-II, New Delhi-110001",mljoffice@gov.in
L84zv3QBGZk0jujBKgGW,Ministry of Parliamentary Affairs,ug,,Shri Kiren Rijiju,Minister,Ministry of Parliamentary Affairs,"011-23083920, 011-23018729","Room No. G60 & G61, Ground Floor, Parliament House, New Delhi",minister-mopa@gov.in
L84zv3QBGZk0jujBKgGW,Ministry of Parliamentary Affairs,ug,,Shri Arjun Ram Meghwal,Minister of State,Ministry of Parliamentary Affairs,"011-23083523, 011-23083607, 011-23011770","Room No. F48, First Floor, Parliament House, New Delhi",ar.meghwal@sansad.nic.in
L84zv3QBGZk0jujBKgGW,Ministry of Parliamentary Affairs,ug,,Dr. L. Murugan,Minister of State,Ministry of Parliamentary Affairs,"011-23083942, 011-23083943","Room No. F40, First Floor, Parliament House, New Delhi",mos-rsmpa@gov.in
L84zv3QBGZk0jujBKgGW,Ministry of Parliamentary Affairs,ug,,Shri Nikunja Bihari Dhal,Secretary,Ministry of Parliamentary Affairs,"011-23083855, 011-23083856","Room No. G62, Ground Floor, Parliament House, New Delhi",secympa@nic.in
LKNfInUBxrox_NfiSIBI,Department of Fisheries,ug,,Shri Rajiv Ranjan Singh alias Lalan Singh,Minister,"Ministry of Fisheries, Animal Husbandry and Dairying","23380780, 23380781","Room No.: 234, Krishi Bhawan, New Delhi",rrsingh@sansad.nic.in
LKNfInUBxrox_NfiSIBI,Department of Fisheries,ug,,Prof. S. P. Singh Baghel,Minister of State,"Ministry of Fisheries, Animal Husbandry and Dairying","23782143, 23782548","Room No.: 392, E WING, 3rd Floor, Krishi Bhawan, New Delhi",mos-fahd@dahd.nic.in
LKNfInUBxrox_NfiSIBI,Department of Fisheries,ug,,Shri Abhilaksh Likhi,Secretary,Secretary Office,23381994,"Room No.: 220, Krishi Bhavan, New Delhi",secy-fisheries@gov.in
LM4zv3QBGZk0jujBKgGW,Ministry of Minority Affairs,ug,,Shri Kiren Rijiju,Minister,Ministry of Minority Affairs,"24360585, 24360586","Room No.: 101, Pt. Deendayal Antyodaya Bhawan, New Delhi-110003",minister-moma@nic.in
LM4zv3QBGZk0jujBKgGW,Ministry of Minority Affairs,ug,,Shri Srivatsa Krishna,Secretary,Ministry of Minority Affairs,24364272,"Room No.: 1110, Pt. Deendayal Antyodaya Bhawan, New Delhi-110003",secy-mma@nic.in
Lc4zv3QBGZk0jujBKgGW,Ministry of New and Renewable Energy,ug,,Shri Pralhad Joshi,Minister,Ministry of New and Renewable Energy,,,minister.mnre@gov.in
Lc4zv3QBGZk0jujBKgGW,Ministry of New and Renewable Energy,ug,,Shri Shripad Yesso Naik,Minister of State,Ministry of New and Renewable Energy,,,mos-mnre@gov.in
Lc4zv3QBGZk0jujBKgGW,Ministry of New and Renewable Energy,ug,,Shri Santosh Kumar Sarangi,Secretary,Ministry of New and Renewable Energy,20849010,,secy-mnre@nic.in
Ls4zv3QBGZk0jujBKgGW,Ministry of Panchayati Raj,ug,,Shri Rajiv Ranjan Singh alias Lalan Singh,Minister,Ministry of Panchayati Raj,"23380780, 23380781",,min-mopr@gov.in
Ls4zv3QBGZk0jujBKgGW,Ministry of Panchayati Raj,ug,,Prof. S. P. Singh Baghel,Minister of State,Ministry of Panchayati Raj,"23782143, 23782518",,mos-mopr@gov.in
Ls4zv3QBGZk0jujBKgGW,Ministry of Panchayati Raj,ug,,Shri Vivek Bhardwaj,Secretary,Ministry of Panchayati Raj,23389008,,secy-mopr@nic.in
M84zv3QBGZk0jujBKgGW,Ministry of Railways,ug,,Shri Ashwini Vaishnaw,Minister,Ministry of Railways,"23386645, 23017061",,officeofmr@gov.in
M84zv3QBGZk0jujBKgGW,Ministry of Railways,ug,,Shri V. Somanna,Minister of State,Ministry of Railways,,,
M84zv3QBGZk0jujBKgGW,Ministry of Railways,ug,,Shri Ravneet Singh,Minister of State,Ministry of Railways,,,
MM4zv3QBGZk0jujBKgGW,"Ministry of Personnel, Public Grievances and Pensions",ug,,Shri Narendra Modi,Prime Minister,"Ministry of Personnel, Public Grievances and Pensions",,,
MM4zv3QBGZk0jujBKgGW,"Ministry of Personnel, Public Grievances and Pensions",ug,,Dr. Jitendra Singh,Minister of State,"Ministry of Personnel, Public Grievances and Pensions",24010700,"Room No.: 31026, Kartavya Bhavan-03, New Delhi - 110001",mos-pp@nic.in
Mc4zv3QBGZk0jujBKgGW,Ministry of Petroleum and Natural Gas,ug,,Shri Hardeep Singh Puri,Minister,Ministry of Petroleum and Natural Gas,24011101,"Room No.: 31109, Kartavya Bhawan - 03, Janpath Road, New Delhi - 110001",min.png@nic.in
Mc4zv3QBGZk0jujBKgGW,Ministry of Petroleum and Natural Gas,ug,,Shri Suresh Gopi,Minister of State,Ministry of Petroleum and Natural Gas,24011113,"Room No.: 31074, Kartavya Bhawan - 03, Janpath Road, New Delhi - 110001",
Mc4zv3QBGZk0jujBKgGW,Ministry of Petroleum and Natural Gas,ug,,Shri Neeraj Mittal,Secretary,Ministry of Petroleum and Natural Gas,24011201,"Room No.: 31104, Kartavya Bhawan - 03, Janpath Road, New Delhi - 110001",sec.png@nic.in
Ms4zv3QBGZk0jujBKgGW,Ministry of Power,ug,,Shri Manohar Lal,Minister,Ministry of Power,"23717474, 23710411",,
Ms4zv3QBGZk0jujBKgGW,Ministry of Power,ug,,Shri Shripad Yesso Naik,Minister of State,Ministry of Power,"23720450, 23720451",,
Ms4zv3QBGZk0jujBKgGW,Ministry of Power,ug,,Shri Pankaj Agarwal,Secretary,Ministry of Power,23721487,,secy-power@nic.in
NM4zv3QBGZk0jujBKgGW,Ministry of Rural Development,ug,,Shri Shivraj Singh Chouhan,Minister,Ministry of Rural Development,"23782327, 23782373","Krishi Bhawan, New Delhi",minister.rd@gov.in
NM4zv3QBGZk0jujBKgGW,Ministry of Rural Development,ug,,Dr. Chandra Sekhar Pemmasani,Minister of State,Ministry of Rural Development,"23372414, 23372565","Sanchar Bhawan, New Delhi",mosc-office@gov.in
NM4zv3QBGZk0jujBKgGW,Ministry of Rural Development,ug,,Shri Kamlesh Paswan,Minister of State,Ministry of Rural Development,"24105585, 23388859","Krishi Bhawan, New Delhi",mosoffice-rd@gov.in
Nc4zv3QBGZk0jujBKgGW,Ministry of Science and Technology,ug,,Dr. Jitendra Singh,Minister of State (Independent Charge),Ministry of Science and Technology,"23316745, 24629788",,mos-stes@gov.in
Ns4zv3QBGZk0jujBKgGW,Ministry of Road Transport and Highways,ug,,Shri Nitin Jairam Gadkari,Minister,Ministry of Road Transport and Highways,23719023,"Room No.: 501, Transport Bhawan, 1, Parliament Street, New Delhi-110001",nitin.gadkari@nic.in
Ns4zv3QBGZk0jujBKgGW,Ministry of Road Transport and Highways,ug,,Shri Ajay Tamta,Minister of State,Ministry of Road Transport and Highways,23718568,"Room No.: 310, Transport Bhawan, 1, Parliament Street, New Delhi-110001",ajay-tamta@gov.in
Ns4zv3QBGZk0jujBKgGW,Ministry of Road Transport and Highways,ug,,Shri Harsh Malhotra,Minister of State,Ministry of Road Transport and Highways,23352204,"Room No.: 214, Transport Bhawan, 1, Parliament Street, New Delhi-110001",harshdeep.malhotra@gov.in
Ns4zv3QBGZk0jujBKgGW,Ministry of Road Transport and Highways,ug,,Shri V. Umashankar,Secretary,Ministry of Road Transport and Highways,23714104,"Room No.: 509, Transport Bhawan, 1, Parliament Street, New Delhi-110001",secy-road@nic.in
O84zv3QBGZk0jujBKgGW,Ministry of Textiles,ug,,Shri Giriraj Singh,Minister,Ministry of Textiles,"20903582, 26113121","Room No. 5605, 5th Floor, GPOA-3, Netaji Nagar, New Delhi–110023",minister.textiles@gov.in
O84zv3QBGZk0jujBKgGW,Ministry of Textiles,ug,,Shri Pabitra Margherita,Minister of State,Ministry of Textiles,011-20903779,"Room No. 5501, 5th Floor, GPOA-3, Netaji Nagar, New Delhi–110023",mos-textiles@gov.in
O84zv3QBGZk0jujBKgGW,Ministry of Textiles,ug,,Ms. Neelam Shami Rao,Secretary,Ministry of Textiles,23061769,"Room No. 5201, 5th Floor, GPOA-3, Netaji Nagar, New Delhi–110023",secy-textiles@nic.in
Oc4zv3QBGZk0jujBKgGW,Ministry of Statistics and Programme Implementation,ug,,Shri Rao Inderjit Singh,Minister of State (Independent Charge),Ministry of Statistics and Programme Implementation,"23340884, 23367245, 24643265","No. 6, Lodhi Estate, New Delhi - 110011",minister.spi@nic.in
Oc4zv3QBGZk0jujBKgGW,Ministry of Statistics and Programme Implementation,ug,,Shri Saurabh Garg,Secretary,Ministry of Statistics and Programme Implementation,"23742150, 23344689","Room No.-204, Khurshid Lal Bhawan, Janpath, New Delhi,110001",secretary@mospi.gov.in
Os4zv3QBGZk0jujBKgGW,Ministry of Steel,ug,,Shri H. D. Kumaraswamy,Minister,Ministry of Steel,26111395,"Room No. 3605, 3rd Floor, GPOA - 3, Netaji Nagar, New Delhi - 110023",minister.steel@nic.in
Os4zv3QBGZk0jujBKgGW,Ministry of Steel,ug,,Shri Bhupathi Raju Srinivasa Varma,Minister of State,Ministry of Steel,"23063810, 24102703","Room No. 3101, 3rd Floor, GPOA - 3, Netaji Nagar, New Delhi - 110023",mos-steel@gov.in
Os4zv3QBGZk0jujBKgGW,Ministry of Steel,ug,,Shri Sandeep Poundrik,Secretary,Ministry of Steel,"23063489, 24673912","Room No. 3201, 3rd Floor, GPOA - 3, Netaji Nagar, New Delhi - 110023",secy-steel@nic.in
P84zv3QBGZk0jujBKgGW,Ministry of Women and Child Development,ug,,Smt. Annpurna Devi,Minister,Ministry of Women and Child Development,"23071331, 23071332","Room No.: 6605, GPOA 3 Netaji Nagar, Bhikaji Cama Place, New Delhi - 110023",min-wcd@gov.in
P84zv3QBGZk0jujBKgGW,Ministry of Women and Child Development,ug,,Smt. Savitri Thakur,Minister of State,Ministry of Women and Child Development,"23382361, 23382363","Room No.: 7101, GPOA 3 Netaji Nagar, Bhikaji Cama Place, New Delhi - 110023",mos-wcd@gov.in
P84zv3QBGZk0jujBKgGW,Ministry of Women and Child Development,ug,,Shri Anil Malik,Secretary,Ministry of Women and Child Development,"23383586, 23386731","Room No.: 6501, GPOA 3 Netaji Nagar, Bhikaji Cama Place, New Delhi - 110023",secy.wcd@gov.in
P9e83XQBYNG-XPnvjOsx,Department of Agricultural Research and Education,ug,,Shri Shivraj Singh Chouhan,Minister,Ministry of Agriculture & Farmers Welfare,"23383370, 23782691, 23794697","Room No- 120, Krishi Bhawan, New Delhi",agrimin.india@gmail.com
